State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
AL,35004,LEEDS,0.100000,0.040000,0.000000,0.040000,0.020000,0
AL,35005,SYLVAN SPRINGS,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35006,TUSCALOOSA,0.100000,0.040000,0.060000,0.000000,0.000000,0
AL,35007,ALABASTER,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35010,ALEXANDER CITY,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35011,ALEXANDER CITY,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35013,ALLGOOD,0.100000,0.040000,0.030000,0.030000,0.000000,0
AL,35014,SYLACAUGA,0.095000,0.040000,0.010000,0.045000,0.000000,0
AL,35015,IRONDALE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35016,ARAB,0.125000,0.040000,0.035000,0.050000,0.000000,0
AL,35019,CULLMAN,0.085000,0.040000,0.045000,0.000000,0.000000,0
AL,35020,MIDFIELD,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35021,BESSEMER,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35022,HELENA,0.110000,0.040000,0.020000,0.050000,0.000000,0
AL,35023,PLEASANT GROVE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35031,BLOUNTSVILLE,0.100000,0.040000,0.030000,0.030000,0.000000,0
AL,35032,CHILDERSBURG,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35033,CULLMAN,0.085000,0.040000,0.045000,0.000000,0.000000,0
AL,35034,BRENT,0.100000,0.040000,0.040000,0.020000,0.000000,0
AL,35035,BIBB,0.080000,0.040000,0.040000,0.000000,0.000000,0
AL,35036,BROOKSIDE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35038,WALKER,0.060000,0.040000,0.020000,0.000000,0.000000,0
AL,35040,CALERA,0.120000,0.040000,0.040000,0.040000,0.000000,0
AL,35042,BRENT,0.100000,0.040000,0.040000,0.020000,0.000000,0
AL,35043,CHELSEA,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35044,CHILDERSBURG,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35045,CLANTON,0.100000,0.040000,0.030000,0.030000,0.000000,0
AL,35046,CLANTON,0.100000,0.040000,0.030000,0.030000,0.000000,0
AL,35048,CLAY,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35049,CLEVELAND,0.090000,0.040000,0.030000,0.020000,0.000000,0
AL,35051,COLUMBIANA,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35052,SAINT CLAIR CO 7059,0.060000,0.040000,0.000000,0.000000,0.020000,0
AL,35053,CULLMAN,0.085000,0.040000,0.045000,0.000000,0.000000,0
AL,35054,SAINT CLAIR CL PELL CITY 7759,0.100000,0.040000,0.000000,0.050000,0.010000,0
AL,35055,GOOD HOPE,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35056,CULLMAN,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35057,GOOD HOPE,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35058,CULLMAN,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35060,ADAMSVILLE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35061,HUEYTOWN,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35062,WEST JEFFERSON,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35063,SUMITON UN,0.080000,0.040000,0.020000,0.000000,0.020000,0
AL,35064,MIDFIELD,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35068,GARDENDALE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35070,GARDEN CITY,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35071,MORRIS,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35072,GOODWATER,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35073,CARDIFF,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35074,WOODSTOCK (NORTH BIBB) PJ,0.095000,0.040000,0.045000,0.000000,0.010000,0
AL,35077,GARDEN CITY,0.090000,0.040000,0.045000,0.005000,0.000000,0
AL,35078,COLUMBIANA,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35079,HAYDEN,0.090000,0.040000,0.030000,0.020000,0.000000,0
AL,35080,HELENA,0.110000,0.040000,0.020000,0.050000,0.000000,0
AL,35082,SYLACAUGA,0.095000,0.040000,0.010000,0.045000,0.000000,0
AL,35083,CULLMAN,0.085000,0.040000,0.045000,0.000000,0.000000,0
AL,35085,JEMISON,0.110000,0.040000,0.030000,0.040000,0.000000,0
AL,35087,ARAB PJ,0.100000,0.040000,0.035000,0.000000,0.025000,0
AL,35089,ALEXANDER CITY,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35091,KIMBERLY,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35094,LEEDS,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35096,LINCOLN,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35097,LOCUST FORK,0.090000,0.040000,0.030000,0.020000,0.000000,0
AL,35098,CULLMAN,0.085000,0.040000,0.045000,0.000000,0.000000,0
AL,35111,BESSEMER,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35112,MARGARET,0.100000,0.040000,0.000000,0.040000,0.020000,0
AL,35114,ALABASTER,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35115,CALERA PJ,0.100000,0.040000,0.040000,0.000000,0.020000,0
AL,35116,MORRIS,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35117,GARDENDALE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35118,SYLVAN SPRINGS,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35119,GARDENDALE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35120,ARGO,0.100000,0.040000,0.000000,0.040000,0.020000,0
AL,35121,HIGHLAND LAKE,0.100000,0.040000,0.030000,0.030000,0.000000,0
AL,35123,PINSON,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35124,ALABASTER,0.100000,0.040000,0.010000,0.050000,0.000000,0
AL,35125,SAINT CLAIR CL PELL CITY 7759,0.100000,0.040000,0.000000,0.050000,0.010000,0
AL,35126,TRUSSVILLE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35127,PLEASANT GROVE,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35128,SAINT CLAIR CL PELL CITY 7759,0.100000,0.040000,0.000000,0.050000,0.010000,0
AL,35130,WEST JEFFERSON,0.100000,0.040000,0.020000,0.040000,0.000000,0
AL,35131,RAGLAND,0.100000,0.040000,0.000000,0.040000,0.020000,0
AL,35133,LOCUST FORK,0.090000,0.040000,0.030000,0.020000,0.000000,0
AL,35135,SAINT CLAIR CL PELL CITY 7759,0.100000,0.040000,0.000000,0.050000,0.010000,0
AL,35136,ROCKFORD,0.090000,0.040000,0.020000,0.030000,0.000000,0
