State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CA,90001,HUNTINGTON PARK,0.105000,0.060000,0.002500,0.007500,0.035000,0
CA,90002,LYNWOOD,0.107500,0.060000,0.002500,0.010000,0.035000,0
CA,90003,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90004,GLENDORA,0.107500,0.060000,0.002500,0.010000,0.035000,0
CA,90005,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90006,LONG BEACH,0.105000,0.060000,0.002500,0.010000,0.032500,0
CA,90007,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90008,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90009,INGLEWOOD,0.102500,0.060000,0.002500,0.005000,0.035000,0
CA,90010,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90011,LONG BEACH,0.105000,0.060000,0.002500,0.010000,0.032500,0
CA,90012,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90013,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90014,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90015,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90016,CULVER CITY,0.107500,0.060000,0.002500,0.010000,0.035000,0
CA,90017,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90018,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90019,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90020,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90021,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90022,MONTEBELLO,0.105000,0.060000,0.002500,0.007500,0.035000,0
CA,90023,VERNON,0.105000,0.060000,0.002500,0.007500,0.035000,0
CA,90024,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
CA,90025,LOS ANGELES,0.097500,0.060000,0.002500,0.000000,0.035000,0
