State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CO,80001,ARVADA,0.079600,0.029000,0.005000,0.034600,0.011000,0
CO,80002,ARVADA,0.082100,0.029000,0.007500,0.034600,0.011000,0
CO,80003,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80004,ARVADA,0.079600,0.029000,0.005000,0.034600,0.011000,0
CO,80005,WESTMINSTER,0.087500,0.029000,0.005000,0.042500,0.011000,0
CO,80006,ARVADA,0.079600,0.029000,0.005000,0.034600,0.011000,0
CO,80007,ARVADA,0.079600,0.029000,0.005000,0.034600,0.011000,0
CO,80010,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80011,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80012,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80013,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80014,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80015,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80016,AURORA,0.087500,0.029000,0.010000,0.037500,0.011000,0
CO,80017,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80018,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80019,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80020,LOUISVILLE,0.091100,0.029000,0.013350,0.037750,0.011000,0
CO,80021,WESTMINSTER,0.087500,0.029000,0.005000,0.042500,0.011000,0
CO,80022,COMMERCE CITY PLAZA,0.097500,0.029000,0.007500,0.045000,0.016000,0
CO,80023,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80024,SOUTH ADAMS COUNTY FIRE PROTECTION DISTRICT,0.052500,0.029000,0.007500,0.000000,0.016000,0
CO,80025,BOULDER,0.053350,0.029000,0.013350,0.000000,0.011000,0
CO,80026,LAFAYETTE,0.092050,0.029000,0.013350,0.038700,0.011000,0
CO,80027,LAFAYETTE,0.092050,0.029000,0.013350,0.038700,0.011000,0
CO,80030,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80031,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80033,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80034,WHEAT RIDGE,0.080000,0.029000,0.005000,0.035000,0.011000,0
CO,80035,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80036,WESTMINSTER,0.090000,0.029000,0.007500,0.042500,0.011000,0
CO,80037,COMMERCE CITY,0.097500,0.029000,0.007500,0.045000,0.016000,0
CO,80038,BROOMFIELD,0.081500,0.029000,0.000000,0.041500,0.011000,0
CO,80040,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80041,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80042,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80044,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80045,AURORA,0.085000,0.029000,0.007500,0.037500,0.011000,0
CO,80046,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80047,AURORA,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80101,ELBERT,0.039000,0.029000,0.010000,0.000000,0.000000,0
CO,80102,BENNETT,0.077500,0.029000,0.007500,0.040000,0.001000,0
CO,80103,ELBERT,0.039000,0.029000,0.010000,0.000000,0.000000,0
CO,80104,CASTLE ROCK,0.081000,0.029000,0.010000,0.042000,0.000000,0
CO,80105,DEER TRAIL,0.050000,0.029000,0.002500,0.017500,0.001000,0
CO,80106,PIKES PEAK RTA,0.051300,0.029000,0.012300,0.000000,0.010000,0
CO,80107,ELIZABETH,0.079000,0.029000,0.010000,0.040000,0.000000,0
CO,80108,CASTLE ROCK,0.081000,0.029000,0.010000,0.042000,0.000000,0
CO,80109,CASTLE ROCK,0.081000,0.029000,0.010000,0.042000,0.000000,0
CO,80110,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80111,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80112,PARKER,0.080000,0.029000,0.010000,0.030000,0.011000,0
CO,80113,ENGLEWOOD,0.080500,0.029000,0.002500,0.038000,0.011000,0
CO,80116,DOUGLAS,0.050000,0.029000,0.010000,0.000000,0.011000,0
CO,80117,KIOWA,0.054000,0.029000,0.010000,0.015000,0.000000,0
CO,80118,LARKSPUR,0.079000,0.029000,0.010000,0.040000,0.000000,0
CO,80120,LITTLETON,0.087500,0.029000,0.010000,0.037500,0.011000,0
CO,80121,LITTLETON,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80122,LITTLETON,0.080000,0.029000,0.002500,0.037500,0.011000,0
CO,80123,DENVER,0.091500,0.029000,0.000000,0.051500,0.011000,0
CO,80124,PARK MEADOWS PIF,0.075000,0.029000,0.010000,0.025000,0.011000,0
CO,80125,HIGHLANDS RANCH,0.050000,0.029000,0.010000,0.000000,0.011000,0
