State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
CT,06001,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06002,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06006,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06010,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06011,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06013,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06016,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06018,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06019,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06020,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06021,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06022,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06023,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06024,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06025,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06026,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06027,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06028,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06029,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06030,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06031,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06032,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06033,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
CT,06034,CONNECTICUT,0.063500,0.063500,0.000000,0.000000,0.000000,0
