State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
FL,32003,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32004,SAINT JOHNS,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32006,ORANGE PARK,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32007,PUTNAM,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32008,BRANFORD,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32009,NASSAU,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32011,CALLAHAN,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32013,LAFAYETTE,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32024,LAKE CITY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32025,LAKE CITY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32030,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32033,SAINT JOHNS,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32034,FERDINANDA BEACH,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32035,FERDINANDA BEACH,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32038,FORT WHITE,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32040,GLEN ST. MARY,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32041,NASSAU,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32042,BRADFORD,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32043,GREEN COVE SPRINGS,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32044,ALACHUA,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32046,HILLIARD,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32050,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32052,JASPER,0.080000,0.060000,0.020000,0.000000,0.000000,0
FL,32053,JENNINGS,0.080000,0.060000,0.020000,0.000000,0.000000,0
FL,32054,LAKE BUTLER,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32055,LAKE CITY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32056,LAKE CITY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32058,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32059,LEE,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32060,LIVE OAK,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32061,COLUMBIA,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32062,SUWANNEE,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32063,MACCLENNY,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32064,LIVE OAK,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32065,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32066,MADISON,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32067,ORANGE PARK,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32068,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32071,SUWANNEE,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32073,ORANGE PARK,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32079,PENNEY FARMS,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32080,MARINELAND,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32081,JACKSONVILLE,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32082,JACKSONVILLE BEACH,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32083,RAIFORD,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32084,ST. AUGUSTINE,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32085,ST. AUGUSTINE,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32086,ST. AUGUSTINE,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32087,BAKER,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32091,CLAY,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32092,ST. AUGUSTINE,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32094,COLUMBIA,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32095,ST. AUGUSTINE,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32096,WHITE SPRINGS,0.080000,0.060000,0.020000,0.000000,0.000000,0
FL,32097,NASSAU,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32099,JACKSONVILLE,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32102,LAKE,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32105,VOLUSIA,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32110,PALM COAST,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32111,MARION,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32112,CRESCENT CITY,0.070000,0.060000,0.010000,0.000000,0.000000,0
FL,32113,ALACHUA,0.075000,0.060000,0.015000,0.000000,0.000000,0
FL,32114,VOLUSIA,0.065000,0.060000,0.005000,0.000000,0.000000,0
FL,32115,DAYTONA BEACH,0.065000,0.060000,0.005000,0.000000,0.000000,0
