State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
GA,30002,AVONDALE ESTATES,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30003,NORCROSS,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30004,ALPHARETTA,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30005,ALPHARETTA,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30006,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30007,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30008,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30009,ALPHARETTA,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30010,PEACHTREE CORNERS,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30011,AUBURN,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30012,DEKALB CO TSPLOST SP,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30013,CONYERS,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30014,JASPER,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30015,COVINGTON,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30016,PORTERDALE,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30017,GRAYSON,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30018,JERSEY,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30019,WALTON,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30021,CLARKSTON,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30022,ALPHARETTA,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30023,ALPHARETTA,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30024,JOHNS CREEK,0.077500,0.040000,0.030000,0.000000,0.007500,0
GA,30025,MORGAN,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30026,GWINNETT,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30028,DAWSON,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30029,DULUTH,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30030,AVONDALE ESTATES,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30031,DECATUR,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30032,ATLANTA,0.089000,0.040000,0.030000,0.015000,0.004000,0
GA,30033,ATLANTA,0.089000,0.040000,0.030000,0.015000,0.004000,0
GA,30034,DEKALB CO TSPLOST SP,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30035,STONECREST,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30036,DEKALB CO TSPLOST SP,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30037,DEKALB CO TSPLOST SP,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30038,STONECREST,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30039,DEKALB CO TSPLOST SP,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30040,CUMMING,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30041,CUMMING,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30042,GWINNETT,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30043,LAWRENCEVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30044,LAWRENCEVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30045,LAWRENCEVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30046,LAWRENCEVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30047,LILBURN,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30048,LILBURN,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30049,GWINNETT,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30052,WALTON,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30054,COVINGTON,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30055,JASPER,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30056,JASPER,0.080000,0.040000,0.040000,0.000000,0.000000,0
GA,30058,LITHONIA,0.080000,0.040000,0.030000,0.000000,0.010000,0
GA,30060,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30061,MARIETTA,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30062,MARIETTA,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30063,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30064,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30065,MARIETTA,0.060000,0.040000,0.020000,0.000000,0.000000,0
GA,30066,CHEROKEE,0.070000,0.040000,0.030000,0.000000,0.000000,0
GA,30067,COBB,0.060000,0.040000,0.020000,0.000000,0.000000,0
