State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IA,50001,WARREN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50002,ADAIR,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50003,WAUKEE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50005,ALBION,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50006,ALDEN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50007,ALLEMAN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50008,ALLERTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50009,ALTOONA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50010,AMES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50011,AMES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50012,AMES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50013,AMES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50014,AMES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50020,ANITA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50021,ANKENY,0.060000,0.060000,0.000000,0.000000,0.000000,0
IA,50022,ATLANTIC,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50023,JOHNSTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50025,AUDUBON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50026,BAGLEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50027,BARNES CITY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50028,BAXTER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50029,BAYARD,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50031,BEAVER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50032,POLK,0.060000,0.060000,0.000000,0.000000,0.000000,0
IA,50033,BEVINGTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50034,BLAIRSBURG,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50035,BONDURANT,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50036,BOONE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50037,BOONE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50038,DALLAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50039,BOUTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50040,BOXHOLM,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50041,FRANKLIN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50042,BRAYTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50043,ALDEN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50044,BUSSEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50046,CAMBRIDGE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50047,DES MOINES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50048,CASEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50049,CHARITON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50050,CHURDAN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50051,CLEMONS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50052,CLIO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50054,COLFAX,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50055,COLLINS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50056,COLO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50057,LUCAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50058,COON RAPIDS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50059,GREENE CO UNINCORPORATED SP,0.070000,0.060000,0.000000,0.000000,0.010000,0
IA,50060,CORYDON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50061,WEST DES MOINES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50062,MELCHER-DALLAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50063,DALLAS CENTER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50064,DANA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50065,DAVIS CITY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50066,DALLAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50067,DECATUR CITY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50068,DERBY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50069,DE SOTO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50070,DEXTER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50071,DOWS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50072,EARLHAM,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50073,ELKHART,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50074,BEACONSFIELD,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50075,ELLSWORTH,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50076,EXIRA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50078,FERGUSON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50099,BOONE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50101,GALT,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50102,HARDIN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50103,GARDEN GROVE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50104,KEOKUK,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50105,STORY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50106,GILMAN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50107,GRAND JUNCTION,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50108,GRAND RIVER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50109,GRANGER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50110,GRAY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50111,JOHNSTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50112,GRINNELL,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50115,GUTHRIE CENTER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50116,HAMILTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50117,AUDUBON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50118,HARTFORD,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50119,HARVEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50120,HAVERHILL,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50122,HUBBARD,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50123,HUMESTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50124,HUXLEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50125,INDIANOLA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50126,IOWA FALLS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50127,JASPER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50128,JAMAICA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50129,JEFFERSON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50130,JEWELL JUNCTION,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50131,JOHNSTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50132,KAMRAR,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50133,KELLERTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50134,KELLEY,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50135,KELLOGG,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50136,IOWA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50137,JASPER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50138,KNOXVILLE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50139,LACONA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50140,LAMONI,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50141,LAUREL,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50142,MARSHALL,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50143,LEIGHTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50144,LEON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50145,WARREN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50146,LINDEN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50147,LINEVILLE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50148,LISCOMB,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50149,LORIMOR,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50150,LOVILIA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50151,LUCAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50152,LUTHER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50153,LYNNVILLE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50154,MCCALLSBURG,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50155,MACKSBURG,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50156,LUTHER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50157,POWESHIEK,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50158,MARSHALLTOWN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50160,MARTENSDALE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50161,MAXWELL,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50162,MELBOURNE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50163,MELCHER-DALLAS,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50164,MENLO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50165,MILLERTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50166,MILO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50167,MINBURN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50168,MINGO,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50169,MITCHELLVILLE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50170,MONROE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50171,MONTEZUMA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50173,MONTOUR,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50174,MURRAY,0.070000,0.060000,0.000000,0.010000,0.000000,0
IA,50201,NEVADA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50206,NEW PROVIDENCE,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50207,NEW SHARON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50208,NEWTON,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50210,NEW VIRGINIA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50211,DES MOINES,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50212,OGDEN,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50213,OSCEOLA,0.070000,0.060000,0.000000,0.010000,0.000000,0
IA,50214,JASPER,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50216,PANORA,0.070000,0.060000,0.010000,0.000000,0.000000,0
IA,50217,PATON,0.070000,0.060000,0.010000,0.000000,0.000000,0
