State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IL,60002,ANTIOCH,0.090000,0.062500,0.000000,0.010000,0.017500,0
IL,60004,ARLINGTON HEIGHTS,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60005,ROLLING MEADOWS,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60006,ARLINGTON HEIGHTS,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60007,CHICAGO O'HARE INTERNATIONAL AIRPORT,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60008,ROLLING MEADOWS,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60009,ELK GROVE VILLAGE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60010,BARRINGTON,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60011,BARRINGTON,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60012,CRYSTAL LAKE,0.085000,0.062500,0.002500,0.012500,0.007500,0
IL,60013,CRYSTAL LAKE,0.085000,0.062500,0.002500,0.012500,0.007500,0
IL,60014,CRYSTAL LAKE,0.085000,0.062500,0.002500,0.012500,0.007500,0
IL,60015,DEERFIELD,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60016,NILES,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60017,DES PLAINES,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60018,CHICAGO,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60019,DES PLAINES,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60020,FOX LAKE CENTRAL BD SP,0.085000,0.062500,0.000000,0.005000,0.017500,0
IL,60021,FOX RIVER GROVE,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60022,REGIONAL TRANSPORT. AUTHORITY (RTA),0.090000,0.062500,0.017500,0.000000,0.010000,0
IL,60025,GLENVIEW CHESTNUT-WAUKEGAN BUSINESS DISTRICT SP,0.107500,0.062500,0.017500,0.007500,0.020000,0
IL,60026,NORTHBROOK,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60029,GLENVIEW,0.097500,0.062500,0.017500,0.007500,0.010000,0
IL,60030,BARRINGTON,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60031,GURNEE,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60033,HARVARD,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60034,REGIONAL TRANSPORT. AUTHORITY (RTA),0.072500,0.062500,0.002500,0.000000,0.007500,0
IL,60035,HIGHWOOD,0.090000,0.062500,0.000000,0.020000,0.007500,0
IL,60037,LAKE FOREST,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60038,REGIONAL TRANSPORT. AUTHORITY (RTA),0.090000,0.062500,0.017500,0.000000,0.010000,0
IL,60039,CRYSTAL LAKE,0.085000,0.062500,0.002500,0.012500,0.007500,0
IL,60040,HIGHWOOD,0.090000,0.062500,0.000000,0.020000,0.007500,0
IL,60041,FOX LAKE SOUTH BD SP,0.085000,0.062500,0.000000,0.005000,0.017500,0
IL,60042,REGIONAL TRANSPORT. AUTHORITY (RTA),0.072500,0.062500,0.002500,0.000000,0.007500,0
IL,60043,KENILWORTH,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60044,GREEN OAKS,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60045,GREEN OAKS,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60046,LAKE VILLA DOWNTOWN BD SP,0.090000,0.062500,0.000000,0.010000,0.017500,0
IL,60047,LONG GROVE RTE 83 BD SP,0.090000,0.062500,0.000000,0.010000,0.017500,0
IL,60048,GURNEE,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60050,BULL VALLEY,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60051,JOHNSBURG,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60053,MORTON GROVE DEMPSTER WAUKEGAN BUSINESS DISTRICT,0.105000,0.062500,0.017500,0.012500,0.012500,0
IL,60055,PALATINE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60056,MOUNT PROSPECT BD SP,0.102500,0.062500,0.017500,0.010000,0.012500,0
IL,60060,LIBERTYVILLE,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60061,MUNDELEIN,0.082500,0.062500,0.000000,0.012500,0.007500,0
IL,60062,DEERFIELD,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60064,WAUKEGAN,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60065,NORTHBROOK,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60067,ROLLING MEADOWS,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60068,CHICAGO,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60069,BUFFALO GROVE,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60070,PROSPECT HEIGHTS,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60071,RICHMOND,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60072,REGIONAL TRANSPORT. AUTHORITY (RTA),0.072500,0.062500,0.002500,0.000000,0.007500,0
IL,60073,LAKEMOOR,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60074,DEER PARK,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60075,REGIONAL TRANSPORT. AUTHORITY (RTA),0.070000,0.062500,0.000000,0.000000,0.007500,0
IL,60076,CHICAGO,0.102500,0.062500,0.017500,0.012500,0.010000,0
IL,60077,SKOKIE,0.112500,0.062500,0.017500,0.012500,0.020000,0
IL,60078,PALATINE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60079,WAUKEGAN,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60081,SPRING GROVE,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60082,NORTHBROOK,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60083,WAUKEGAN,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60084,HAWTHORN WOODS,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60085,WAUKEGAN,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60086,NORTH CHICAGO,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60087,GURNEE,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60088,NORTH CHICAGO,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60089,ARLINGTON HEIGHTS,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60090,BUFFALO GROVE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60091,KENILWORTH,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60093,NORTHFIELD,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60094,PALATINE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60095,PALATINE,0.100000,0.062500,0.017500,0.010000,0.010000,0
IL,60096,REGIONAL TRANSPORT. AUTHORITY (RTA),0.070000,0.062500,0.000000,0.000000,0.007500,0
IL,60097,BULL VALLEY,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60098,CRYSTAL LAKE,0.085000,0.062500,0.002500,0.012500,0.007500,0
IL,60099,WAUKEGAN,0.085000,0.062500,0.000000,0.015000,0.007500,0
IL,60101,ADDISON,0.087500,0.062500,0.000000,0.017500,0.007500,0
IL,60102,ALGONQUIN,0.082500,0.062500,0.002500,0.010000,0.007500,0
IL,60103,BARTLETT,0.107500,0.062500,0.017500,0.017500,0.010000,0
IL,60104,REGIONAL TRANSPORT. AUTHORITY (RTA),0.105000,0.062500,0.017500,0.015000,0.010000,0
IL,60105,BENSENVILLE,0.080000,0.062500,0.000000,0.010000,0.007500,0
IL,60106,REGIONAL TRANSPORT. AUTHORITY (RTA),0.090000,0.062500,0.017500,0.000000,0.010000,0
IL,60107,BARTLETT,0.107500,0.062500,0.017500,0.017500,0.010000,0
IL,60108,BLOOMINGDALE/STRATFORD SQ BUS DIST,0.085000,0.062500,0.000000,0.005000,0.017500,0
IL,60109,REGIONAL TRANSPORT. AUTHORITY (RTA),0.070000,0.062500,0.000000,0.000000,0.007500,0
IL,60110,CARPENTERSVILLE,0.090000,0.062500,0.000000,0.020000,0.007500,0
