State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
IN,46001,DELAWARE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46011,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46012,DELAWARE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46013,PENDLETON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46014,ANDERSON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46015,ANDERSON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46016,ANDERSON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46017,DELAWARE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46018,ANDERSON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46030,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46031,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46032,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46033,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46034,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46035,BOONE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46036,GRANT,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46037,HAMILTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46038,NOBLESVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46039,HOWARD,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46040,INGALLS,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46041,TIPPECANOE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46044,MADISON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46045,TIPTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46047,TIPTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46048,INGALLS,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46049,KEMPTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46050,KIRKLIN,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46051,LAPEL,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46052,LEBANON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46055,MCCORDSVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46056,MARKLEVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46057,MICHIGANTOWN,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46058,MULBERRY,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46060,NOBLESVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46061,NOBLESVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46062,NOBLESVILLE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46063,ORESTES,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46064,INGALLS,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46065,CARROLL,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46067,CLINTON,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46068,HOWARD,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46069,BOONE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46070,DELAWARE,0.070000,0.070000,0.000000,0.000000,0.000000,0
IN,46071,BOONE,0.070000,0.070000,0.000000,0.000000,0.000000,0
