State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
KS,66002,ATCHISON,0.105000,0.065000,0.010000,0.010000,0.020000,0
KS,66006,BALDWIN CITY,0.092500,0.065000,0.012500,0.015000,0.000000,0
KS,66007,BASEHOR ONE58 PLAZA CID,0.105000,0.065000,0.010000,0.015000,0.015000,0
KS,66008,DONIPHAN,0.085000,0.065000,0.020000,0.000000,0.000000,0
KS,66010,BOURBON,0.081500,0.065000,0.016500,0.000000,0.000000,0
KS,66012,EDWARDSVILLE,0.100000,0.065000,0.010000,0.025000,0.000000,0
KS,66013,OVERLAND PARK,0.093500,0.065000,0.014750,0.013750,0.000000,0
KS,66014,ANDERSON,0.075000,0.065000,0.010000,0.000000,0.000000,0
KS,66015,COLONY,0.080000,0.065000,0.010000,0.005000,0.000000,0
KS,66016,ATCHISON,0.075000,0.065000,0.010000,0.000000,0.000000,0
KS,66017,DENTON,0.085000,0.065000,0.020000,0.000000,0.000000,0
KS,66018,DE SOTO,0.097250,0.065000,0.014750,0.017500,0.000000,0
KS,66020,EASTON,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66021,EDGERTON CROSSING WOODSTONE CID,0.099750,0.065000,0.014750,0.010000,0.010000,0
KS,66023,EFFINGHAM,0.095000,0.065000,0.010000,0.020000,0.000000,0
KS,66024,ELWOOD,0.095000,0.065000,0.020000,0.010000,0.000000,0
KS,66025,EUDORA,0.095000,0.065000,0.012500,0.017500,0.000000,0
KS,66026,FONTANA,0.085000,0.065000,0.015000,0.005000,0.000000,0
KS,66027,LEAVENWORTH,0.075000,0.065000,0.010000,0.000000,0.000000,0
KS,66030,GARDNER,0.104750,0.065000,0.014750,0.015000,0.010000,0
KS,66031,JOHNSON,0.079750,0.065000,0.014750,0.000000,0.000000,0
KS,66032,GARNETT,0.110000,0.065000,0.010000,0.015000,0.020000,0
KS,66033,FRANKLIN,0.080000,0.065000,0.015000,0.000000,0.000000,0
KS,66035,HIGHLAND,0.095000,0.065000,0.020000,0.010000,0.000000,0
KS,66036,MIAMI,0.080000,0.065000,0.015000,0.000000,0.000000,0
KS,66039,KINCAID,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66040,LACYGNE,0.095000,0.065000,0.010000,0.020000,0.000000,0
KS,66041,DONIPHAN,0.085000,0.065000,0.020000,0.000000,0.000000,0
KS,66042,OSAWATOMIE,0.097500,0.065000,0.015000,0.017500,0.000000,0
KS,66043,LANSING SPEEDWAY CID SP,0.104000,0.065000,0.010000,0.019000,0.010000,0
KS,66044,LAWRENCE KU GATEWAY CID AND STAR,0.113500,0.065000,0.012500,0.016000,0.020000,0
KS,66045,LAWRENCE KU GATEWAY CID AND STAR,0.113500,0.065000,0.012500,0.016000,0.020000,0
KS,66046,LAWRENCE THE CROSSING CID,0.108500,0.065000,0.012500,0.016000,0.015000,0
KS,66047,LAWRENCE KU GATEWAY CID AND STAR,0.113500,0.065000,0.012500,0.016000,0.020000,0
KS,66048,LEAVENWORTH FIRST HOTEL CID SP,0.115000,0.065000,0.010000,0.020000,0.020000,0
KS,66049,LAWRENCE KU GATEWAY CID AND STAR,0.113500,0.065000,0.012500,0.016000,0.020000,0
KS,66050,LECOMPTON,0.095000,0.065000,0.012500,0.017500,0.000000,0
KS,66051,OLATHE,0.094750,0.065000,0.014750,0.015000,0.000000,0
KS,66052,LINWOOD,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66053,LOUISBURG,0.095000,0.065000,0.015000,0.015000,0.000000,0
KS,66054,MCLOUTH,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66056,MOUND CITY,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66058,JACKSON,0.081500,0.065000,0.016500,0.000000,0.000000,0
KS,66060,ATCHISON,0.075000,0.065000,0.010000,0.000000,0.000000,0
KS,66061,OLATHE PIZZA 51 SOUTH CID,0.114750,0.065000,0.014750,0.015000,0.020000,0
KS,66062,OLATHE STATION NORTH CID,0.104750,0.065000,0.014750,0.015000,0.010000,0
KS,66063,OLATHE,0.094750,0.065000,0.014750,0.015000,0.000000,0
KS,66064,OSAWATOMIE,0.097500,0.065000,0.015000,0.017500,0.000000,0
KS,66066,OSKALOOSA,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66067,OTTAWA 21ST AND PRINCETON CID,0.102500,0.065000,0.015000,0.015000,0.007500,0
KS,66070,OZAWKIE,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66071,OSAWATOMIE,0.097500,0.065000,0.015000,0.017500,0.000000,0
KS,66072,PARKER,0.095000,0.065000,0.010000,0.020000,0.000000,0
KS,66073,PERRY,0.085000,0.065000,0.010000,0.010000,0.000000,0
KS,66075,PLEASANTON,0.095000,0.065000,0.010000,0.020000,0.000000,0
KS,66076,POMONA,0.100000,0.065000,0.015000,0.020000,0.000000,0
KS,66078,PRINCETON,0.095000,0.065000,0.015000,0.015000,0.000000,0
KS,66079,RANTOUL,0.080000,0.065000,0.015000,0.000000,0.000000,0
KS,66080,RICHMOND,0.082500,0.065000,0.015000,0.002500,0.000000,0
KS,66083,SPRING HILL,0.095000,0.065000,0.015000,0.015000,0.000000,0
KS,66085,OVERLAND PARK,0.093500,0.065000,0.014750,0.013750,0.000000,0
KS,66086,TONGANOXIE,0.092500,0.065000,0.010000,0.017500,0.000000,0
KS,66087,TROY,0.095000,0.065000,0.020000,0.010000,0.000000,0
