State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MN,55001,WASHINGTON,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55003,BAYPORT,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55005,SAINT FRANCIS,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55006,GRASSTON,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55007,QUAMBA,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55008,CAMBRIDGE,0.078750,0.068750,0.000000,0.005000,0.005000,0
MN,55009,MIESVILLE,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55010,DAKOTA,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55011,HAM LAKE,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55012,CHISAGO,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55013,CHISAGO,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55014,BLAINE,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55016,WASHINGTON,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55017,ISANTI,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55018,DENNISON,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55019,RICE,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55020,ELKO NEW MARKET,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55021,RICE,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55024,LAKEVILLE,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55025,SCANDIA,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55026,GOODHUE CO TR,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55027,GOODHUE,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55029,ISANTI,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55030,GRASSTON,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55031,HAMPTON,0.081250,0.068750,0.000000,0.000000,0.012500,0
MN,55032,ISANTI,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55033,WASHINGTON,0.083750,0.068750,0.000000,0.000000,0.015000,0
MN,55036,HENRIETTE,0.073750,0.068750,0.000000,0.000000,0.005000,0
MN,55037,MILLE LACS RESERVATION,0.123750,0.068750,0.000000,0.000000,0.055000,0
MN,55038,WASHINGTON,0.083750,0.068750,0.000000,0.000000,0.015000,0
