State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
MO,63005,CHESTERFIELD BLUE VALLEY COMMUNITY IMPROVEMENT DISTRICT SP,0.101130,0.042250,0.022630,0.010000,0.026250,0
MO,63006,TOWN AND COUNTRY,0.089880,0.042250,0.022630,0.012500,0.012500,0
MO,63010,ARNOLD RIDGECREST COMMUNITY IMPROVEMENT DISTRICT SP,0.116000,0.042250,0.016250,0.022500,0.035000,0
MO,63011,ELLISVILLE,0.109880,0.042250,0.022630,0.012500,0.032500,0
MO,63012,PEVELY,0.103500,0.042250,0.016250,0.035000,0.010000,0
MO,63013,FRANKLIN CO FIRE PR DT SP,0.074750,0.042250,0.022500,0.000000,0.010000,0
MO,63014,BERGER,0.084750,0.042250,0.022500,0.010000,0.010000,0
MO,63015,ST. CLAIR FIRE PROTECTION DISTRICT,0.074750,0.042250,0.022500,0.000000,0.010000,0
MO,63016,CEDAR HILL,0.068500,0.042250,0.016250,0.000000,0.010000,0
MO,63017,BALLWIN CLARKSON KEHR MILL TDD TL,0.097380,0.042250,0.022630,0.010000,0.022500,0
MO,63019,CRYSTAL CITY TWIN CITY MALL CID SP,0.101000,0.042250,0.016250,0.022500,0.020000,0
MO,63020,DE SOTO HWY 21 TDD TL,0.108500,0.042250,0.016250,0.030000,0.020000,0
MO,63021,DES PERES,0.094880,0.042250,0.022630,0.017500,0.012500,0
MO,63022,ELLISVILLE,0.089880,0.042250,0.022630,0.012500,0.012500,0
MO,63023,JEFFERSON CO VALLE AMBULANCE DISTRICT SP,0.068500,0.042250,0.016250,0.000000,0.010000,0
MO,63024,ELLISVILLE,0.089880,0.042250,0.022630,0.012500,0.012500,0
MO,63025,EUREKA,0.102380,0.042250,0.022630,0.015000,0.022500,0
MO,63026,SAINT LOUIS CO GREEN TRAILS CID SP,0.087380,0.042250,0.022630,0.000000,0.022500,0
MO,63028,HERCULANEUM MCNUTT RD CORRIDOR CID SP,0.108500,0.042250,0.016250,0.035000,0.015000,0
MO,63030,JEFFERSON CO VALLE AMBULANCE DISTRICT SP,0.068500,0.042250,0.016250,0.000000,0.010000,0
MO,63031,HAZELWOOD,0.099880,0.042250,0.022630,0.022500,0.012500,0
MO,63032,FLORISSANT,0.089880,0.042250,0.022630,0.012500,0.012500,0
MO,63033,FLORISSANT NEWCO TRANSPORTATION DEVELOPMENT DISTRICT TL,0.099880,0.042250,0.022630,0.012500,0.022500,0
MO,63034,SAINT LOUIS CO TR,0.077380,0.042250,0.022630,0.000000,0.012500,0
MO,63036,ST.GENEVIEVE COUNTY AMBULANCE DIST,0.076000,0.042250,0.028750,0.000000,0.005000,0
