State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NE,51557,BURT,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,57533,KEYA PAHA,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,57735,SIOUX,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,66955,THAYER,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68001,BUTLER,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68002,ARLINGTON,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68003,ASHLAND,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68004,BANCROFT,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68005,BELLEVUE,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68007,BENNINGTON,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68008,BLAIR,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68010,OMAHA,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68014,BUTLER,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68015,SAUNDERS,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68016,CASS,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68017,CERESCO,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68018,SAUNDERS,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68019,BURT,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68020,DECATUR,0.075000,0.055000,0.000000,0.020000,0.000000,0
NE,68022,OMAHA,0.070000,0.027500,0.000000,0.015000,0.027500,0
NE,68023,FORT CALHOUN,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68025,FREMONT ENHANCED EMPLOYMENT AREA,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68026,FREMONT,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68028,GRETNA,0.075000,0.055000,0.000000,0.020000,0.000000,0
NE,68029,BURT,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68030,HOMER,0.060000,0.055000,0.005000,0.000000,0.000000,0
NE,68031,HOOPER,0.065000,0.055000,0.000000,0.010000,0.000000,0
NE,68033,SAUNDERS,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68034,WASHINGTON,0.055000,0.055000,0.000000,0.000000,0.000000,0
NE,68036,LINWOOD,0.065000,0.055000,0.000000,0.010000,0.000000,0
NE,68037,LOUISVILLE,0.070000,0.055000,0.000000,0.015000,0.000000,0
NE,68038,LYONS,0.075000,0.055000,0.000000,0.020000,0.000000,0
