State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NJ,07001,WOODBRIDGE TOWNSHIP,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07002,BAYONNE,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07003,BLOOMFIELD,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07004,CALDWELL,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07005,ROCKAWAY,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07006,CALDWELL,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07007,WEST CALDWELL,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07008,CARTERET,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07009,LITTLE FALLS,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07010,FORT LEE,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07011,CLIFTON,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07012,CLIFTON,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07013,PASSAIC,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07014,NUTLEY,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07015,CLIFTON,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07016,CRANFORD,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07017,EAST ORANGE,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07018,EAST ORANGE,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07019,EAST ORANGE,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07020,EDGEWATER,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07021,CALDWELL,0.066250,0.066250,0.000000,0.000000,0.000000,0
NJ,07022,NORTH BERGEN,0.066250,0.066250,0.000000,0.000000,0.000000,0
