State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NM,81137,SAN JUAN,0.065000,0.048750,0.016250,0.000000,0.000000,0
NM,87001,SANTA ANA PUEBLO,0.072000,0.000000,0.000000,0.000000,0.072000,0
NM,87002,RIO COMMUNITIES,0.083000,0.048750,0.000000,0.034250,0.000000,0
NM,87004,RIO RANCHO,0.074375,0.048750,0.000000,0.025625,0.000000,0
NM,87005,CIBOLA,0.065625,0.048750,0.016875,0.000000,0.000000,0
NM,87006,VALENCIA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87007,CIBOLA,0.065625,0.048750,0.016875,0.000000,0.000000,0
NM,87008,TIJERAS,0.080750,0.048750,0.000000,0.032000,0.000000,0
NM,87009,TORRANCE,0.065000,0.048750,0.016250,0.000000,0.000000,0
NM,87010,SANTA FE,0.068750,0.048750,0.020000,0.000000,0.000000,0
NM,87011,SOCORRO,0.062500,0.048750,0.013750,0.000000,0.000000,0
NM,87012,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87013,NAVAJO NATION RESERVATION,0.108750,0.048750,0.000000,0.000000,0.060000,0
NM,87014,CIBOLA,0.080000,0.000000,0.000000,0.080000,0.000000,0
NM,87015,EDGEWOOD,0.079375,0.048750,0.000000,0.030625,0.000000,0
NM,87016,ESTANCIA,0.079375,0.048750,0.000000,0.030625,0.000000,0
NM,87017,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87018,CUBA,0.080625,0.048750,0.000000,0.031875,0.000000,0
NM,87020,GRANTS,0.080000,0.048750,0.000000,0.031250,0.000000,0
NM,87021,MILAN,0.077500,0.048750,0.000000,0.028750,0.000000,0
NM,87022,VALENCIA,0.066250,0.000000,0.000000,0.000000,0.066250,0
NM,87023,VALENCIA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87024,SANDOVAL,0.062500,0.000000,0.000000,0.000000,0.062500,0
NM,87025,JEMEZ SPRINGS,0.074250,0.048750,0.000000,0.025500,0.000000,0
NM,87026,VALENCIA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87027,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87028,SOCORRO,0.062500,0.048750,0.013750,0.000000,0.000000,0
NM,87029,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87031,LOS LUNAS,0.084250,0.048750,0.000000,0.035500,0.000000,0
NM,87032,TORRANCE,0.065000,0.048750,0.016250,0.000000,0.000000,0
NM,87034,CIBOLA,0.080000,0.000000,0.000000,0.080000,0.000000,0
NM,87035,MORIARTY,0.079375,0.048750,0.000000,0.030625,0.000000,0
NM,87036,MOUNTAINAIR,0.076875,0.048750,0.000000,0.028125,0.000000,0
NM,87037,NAVAJO NATION RESERVATION,0.108750,0.048750,0.000000,0.000000,0.060000,0
NM,87038,LAGUNA PUEBLO,0.065625,0.000000,0.000000,0.000000,0.065625,0
NM,87040,LAGUNA PUEBLO,0.065625,0.000000,0.000000,0.000000,0.065625,0
NM,87041,KEWA PUEBLO 2,0.075000,0.000000,0.000000,0.075000,0.000000,0
NM,87042,BOSQUE FARMS,0.083000,0.048750,0.000000,0.034250,0.000000,0
NM,87043,BERNALILLO,0.069375,0.048750,0.000000,0.020625,0.000000,0
NM,87044,SANDOVAL,0.062500,0.000000,0.000000,0.000000,0.062500,0
NM,87045,NAVAJO NATION RESERVATION,0.108750,0.048750,0.000000,0.000000,0.060000,0
NM,87046,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87047,EDGEWOOD,0.076250,0.048750,0.000000,0.027500,0.000000,0
NM,87048,CORRALES,0.075625,0.048750,0.000000,0.026875,0.000000,0
NM,87049,CIBOLA,0.065625,0.048750,0.016875,0.000000,0.000000,0
NM,87051,CIBOLA,0.065625,0.048750,0.016875,0.000000,0.000000,0
NM,87052,KEWA PUEBLO 2,0.075000,0.000000,0.000000,0.075000,0.000000,0
NM,87053,SAN YSIDRO,0.066250,0.048750,0.000000,0.017500,0.000000,0
NM,87056,SANTA FE,0.068750,0.048750,0.020000,0.000000,0.000000,0
NM,87059,TIJERAS,0.080750,0.048750,0.000000,0.032000,0.000000,0
NM,87060,VALENCIA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87061,TORRANCE,0.065000,0.048750,0.016250,0.000000,0.000000,0
NM,87062,VALENCIA,0.066250,0.048750,0.017500,0.000000,0.000000,0
NM,87063,WILLARD,0.073125,0.048750,0.000000,0.024375,0.000000,0
NM,87064,RIO ARRIBA,0.066250,0.048750,0.017500,0.000000,0.000000,0
