State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
NV,89001,LINCOLN,0.071000,0.046000,0.025000,0.000000,0.000000,0
NV,89002,HENDERSON,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89003,NYE,0.076000,0.046000,0.030000,0.000000,0.000000,0
NV,89004,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89005,BOULDER CITY,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89006,BOULDER CITY,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89007,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89008,LINCOLN,0.071000,0.046000,0.025000,0.000000,0.000000,0
NV,89009,HENDERSON,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89010,ESMERALDA,0.068500,0.046000,0.022500,0.000000,0.000000,0
NV,89011,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89012,HENDERSON,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89013,ESMERALDA,0.068500,0.046000,0.022500,0.000000,0.000000,0
NV,89014,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89015,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89016,HENDERSON,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89017,LINCOLN,0.071000,0.046000,0.025000,0.000000,0.000000,0
NV,89018,LAS VEGAS,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89019,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89020,NYE,0.076000,0.046000,0.030000,0.000000,0.000000,0
NV,89021,CLARK,0.083750,0.046000,0.037750,0.000000,0.000000,0
NV,89022,NYE,0.076000,0.046000,0.030000,0.000000,0.000000,0
NV,89023,NYE,0.076000,0.046000,0.030000,0.000000,0.000000,0
NV,89024,MESQUITE,0.083750,0.046000,0.037750,0.000000,0.000000,0
