State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OH,43001,ALEXANDRIA,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43002,DUBLIN COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43003,MORROW,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43004,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43005,KNOX,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43006,COSHOCTON,0.077500,0.057500,0.020000,0.000000,0.000000,0
OH,43007,UNION,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43008,BUCKEYE LAKE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43009,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43010,CATAWBA,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43011,CENTERBURG,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43013,HARTFORD,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43014,COSHOCTON,0.077500,0.057500,0.020000,0.000000,0.000000,0
OH,43015,JEROME VILLAGE COMMUNITY AUTHORITY,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43016,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43017,DUBLIN COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43018,LICKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43019,CHESTERVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43021,GALENA,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43022,GAMBIER,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43023,GRANVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43025,HEBRON,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43026,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43027,LICKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43028,COSHOCTON,0.077500,0.057500,0.020000,0.000000,0.000000,0
OH,43029,MADISON,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43030,LICKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43031,JOHNSTOWN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43033,KIRKERSVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43035,DELAWARE,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43036,MAGNETIC SPRINGS,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43037,MARTINSBURG,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43040,UNION,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43041,MARYSVILLE,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43044,CATAWBA,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43045,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43046,KIRKERSVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43047,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43048,KNOX,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43050,MOUNT VERNON,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43054,NEW ALBANY,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43055,GRANVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43056,GRATIOT,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43058,NEWARK,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43060,NORTH LEWISBURG,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43061,OSTRANDER,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43062,LICKING,0.082500,0.057500,0.015000,0.000000,0.010000,0
OH,43064,DUBLIN COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43065,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43066,DELAWARE,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43067,UNION,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43068,LICKING,0.082500,0.057500,0.015000,0.000000,0.010000,0
OH,43069,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43070,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43071,SAINT LOUISVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43072,SAINT PARIS,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43073,PATASKALA,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43074,LICKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43076,THORNVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43077,UNIONVILLE CENTER,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43078,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43080,MARTINSBURG,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43081,WESTERVILLE COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43082,WESTERVILLE COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43083,CHAMPAIGN,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43084,WOODSTOCK,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43085,RIVERLEA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43086,WESTERVILLE COTA,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43093,NEWARK,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43101,ADELPHI,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43102,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43103,ASHVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43105,LICKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43106,FAYETTE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43107,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43109,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43110,PICKERINGTON,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43111,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43112,FAIRFIELD,0.067500,0.057500,0.010000,0.000000,0.000000,0
OH,43113,CIRCLEVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43115,CLARKSBURG,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43116,COMMERCIAL POINT,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43117,PICKAWAY,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43119,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43123,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43125,OBETZ,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43126,HARRISBURG,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43127,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43128,JEFFERSONVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43130,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43135,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43136,LITHOPOLIS,0.067500,0.057500,0.010000,0.000000,0.000000,0
OH,43137,OBETZ,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43138,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43140,FRANKLIN,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43142,MILLEDGEVILLE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43143,PICKAWAY,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43144,MURRAY CITY,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43145,FAYETTE,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43146,HARRISBURG,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43147,PICKERINGTON,0.080000,0.057500,0.012500,0.000000,0.010000,0
OH,43148,PERRY,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43149,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43150,PERRY,0.072500,0.057500,0.015000,0.000000,0.000000,0
OH,43151,MIDWAY,0.070000,0.057500,0.012500,0.000000,0.000000,0
OH,43152,HOCKING,0.072500,0.057500,0.015000,0.000000,0.000000,0
