State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
OR,89421,OREGON,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97001,WASCO COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97002,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97003,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97004,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97005,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97006,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97007,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97008,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97009,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97010,MULTNOMAH,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97011,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97013,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97014,HOOD RIVER COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97015,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97016,CLATSOP COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97017,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97018,COLUMBIA COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97019,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97020,MARION COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97021,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97022,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97023,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97024,FAIRVIEW,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97026,MARION COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97027,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97028,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97029,SHERMAN COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97030,GRESHAM,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97031,HOOD RIVER COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97032,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97033,SHERMAN COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97034,PORTLAND,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97035,LAKE OSWEGO,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97036,LAKE OSWEGO,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97037,WASCO COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97038,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97039,WASCO,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97040,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97041,HOOD RIVER COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97042,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97044,HOOD RIVER COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97045,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97048,COLUMBIA COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97049,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97050,SHERMAN COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97051,COLUMBIA COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97053,COLUMBIA COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97054,COLUMBIA COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97055,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97056,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97057,SHANIKO,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97058,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97060,FAIRVIEW,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97062,TUALATIN,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97063,WASCO COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97064,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97065,WASCO,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97067,MT HOOD GORGE DISTRICT SP,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97068,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97070,WILSONVILLE,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97071,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97075,BEAVERTON,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97076,BEAVERTON,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97077,BEAVERTON,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97078,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97079,BEAVERTON,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97080,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97086,PORTLAND,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97089,CLACKAMAS COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97101,POLK COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97102,CLATSOP COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97103,CLATSOP COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97106,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97107,TILLAMOOK COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97108,TILLAMOOK COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
OR,97109,WASHINGTON COUNTY,0.000000,0.000000,0.000000,0.000000,0.000000,0
