State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
SD,51001,UNION,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,51023,UNION,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,56136,BROOKINGS,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,56144,MINNEHAHA,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,56164,MOODY,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,56219,ROBERTS,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57001,ALCESTER,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57002,AURORA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57003,BALTIC,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57004,BERESFORD,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57005,BRANDON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57006,BROOKINGS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57007,BROOKINGS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57010,CLAY,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57012,CANISTOTA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57013,CANTON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57014,CENTERVILLE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57015,CHANCELLOR,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57016,MINNEHAHA,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57017,COLMAN,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57018,COLTON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57020,CROOKS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57021,DAVIS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57022,DELL RAPIDS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57024,EGAN,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57025,ELK POINT,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57026,ELKTON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57027,FAIRVIEW,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57028,FLANDREAU,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57029,FREEMAN,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57030,GARRETSON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57031,GAYVILLE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57032,HARRISBURG,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57033,HARTFORD,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57034,HUDSON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57035,HUMBOLDT,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57036,HURLEY,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57037,IRENE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57038,JEFFERSON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57039,LENNOX,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57040,LESTERVILLE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57041,MINNEHAHA,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57042,MADISON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57043,MARION,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57045,MENNO,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57046,YANKTON,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57047,MONROE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57048,MONTROSE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57049,NORTH SIOUX CITY,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57050,LAKE,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57051,OLDHAM,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57052,OLIVET,0.052000,0.042000,0.000000,0.010000,0.000000,0
SD,57053,PARKER,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57054,RAMONA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57055,MINNEHAHA,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57057,MOODY,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57058,SALEM,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57059,SCOTLAND,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57061,SINAI,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57062,SPRINGFIELD,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57063,TABOR,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57064,TEA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57065,TRENT,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57066,TYNDALL,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57067,UTICA,0.052000,0.042000,0.000000,0.010000,0.000000,0
SD,57068,VALLEY SPRINGS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57069,VERMILLION,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57070,VIBORG,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57071,VOLGA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57072,VOLIN,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57073,WAKONDA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57075,WENTWORTH,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57076,MINER,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57077,WORTHING,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57078,YANKTON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57101,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57103,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57104,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57105,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57106,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57107,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57108,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57109,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57110,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57117,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57118,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57186,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57193,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57197,SIOUX FALLS,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57198,MINNEHAHA,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57201,KRANZBURG,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57212,ARLINGTON,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57213,ASTORIA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57214,BADGER,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57216,BIG STONE CITY,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57217,BRADLEY,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57218,BRANDT,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57219,BRISTOL,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57220,BRUCE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57221,BRYANT,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57223,CASTLEWOOD,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57224,CLAIRE CITY,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57225,CLARK,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57226,CLEAR LAKE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57227,CORONA,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57231,DE SMET,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57232,EDEN,0.052000,0.042000,0.000000,0.010000,0.000000,0
SD,57233,ERWIN,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57234,ESTELLINE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57235,FLORENCE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57236,CLARK,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57237,GARY,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57238,CODINGTON,0.042000,0.042000,0.000000,0.000000,0.000000,0
SD,57239,GRENVILLE,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57241,HAYTI,0.062000,0.042000,0.000000,0.020000,0.000000,0
SD,57242,HAZEL,0.052000,0.042000,0.000000,0.010000,0.000000,0
