State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
TN,37010,ADAMS,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37011,NASHVILLE,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37012,ALEXANDRIA,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37013,NASHVILLE,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37014,RUTHERFORD,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37015,ASHLAND CITY,0.097500,0.070000,0.022500,0.005000,0.000000,0
TN,37016,AUBURNTOWN,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37018,BEDFORD,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37019,MARSHALL,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37020,BELL BUCKLE,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37022,MACON,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37023,STEWART,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37024,NASHVILLE,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37025,DICKSON,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37026,CANNON,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37027,BRENTWOOD (WILLIAMSON),0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37028,STEWART,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37029,BURNS,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37030,CARTHAGE,0.097500,0.070000,0.020000,0.007500,0.000000,0
TN,37031,SUMNER,0.092500,0.070000,0.022500,0.000000,0.000000,0
TN,37032,ADAMS,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37033,CENTERVILLE,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37034,BEDFORD,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37035,ROBERTSON,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37036,CHARLOTTE,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37037,BEDFORD,0.097500,0.070000,0.027500,0.000000,0.000000,0
TN,37040,CLARKSVILLE,0.095000,0.070000,0.025000,0.000000,0.000000,0
TN,37041,CLARKSVILLE,0.095000,0.070000,0.025000,0.000000,0.000000,0
