State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
TX,73301,AUSTIN,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,73344,AUSTIN,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,73960,TEXHOMA,0.062500,0.062500,0.000000,0.000000,0.000000,0
TX,75001,DALLAS,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75002,ALLEN,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75006,DALLAS,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75007,CARROLLTON,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75009,PILOT POINT,0.082500,0.062500,0.000000,0.015000,0.005000,0
TX,75010,LEWISVILLE CRIME CONTROL DISTRICT SP,0.082500,0.062500,0.000000,0.012500,0.007500,0
TX,75011,CARROLLTON,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75013,ALLEN,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75014,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75015,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75016,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75017,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75019,DALLAS,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75020,DENISON,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75021,DENISON,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75022,TARRANT,0.082500,0.062500,0.000000,0.000000,0.020000,0
TX,75023,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75024,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75025,PLANO,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75026,PLANO,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75027,LEWISVILLE CRIME CONTROL DISTRICT SP,0.082500,0.062500,0.000000,0.012500,0.007500,0
TX,75028,LEWISVILLE CRIME CONTROL DISTRICT SP,0.082500,0.062500,0.000000,0.012500,0.007500,0
TX,75029,LEWISVILLE CRIME CONTROL DISTRICT SP,0.082500,0.062500,0.000000,0.012500,0.007500,0
TX,75030,ROWLETT,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75032,KAUFMAN COUNTY EMERGENCY SERVICES DISTRICT NO.3,0.082500,0.062500,0.000000,0.000000,0.020000,0
TX,75033,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75034,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75035,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75036,FRISCO,0.082500,0.062500,0.000000,0.020000,0.000000,0
TX,75038,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75039,IRVING,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75040,GARLAND,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75041,DALLAS,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75042,GARLAND,0.082500,0.062500,0.000000,0.010000,0.010000,0
TX,75043,DALLAS,0.082500,0.062500,0.000000,0.010000,0.010000,0
