State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
UT,82930,SUMMIT CO TR,0.087500,0.048499,0.039000,0.000000,0.000000,0
UT,83342,BOX ELDER,0.066500,0.048499,0.018000,0.000000,0.000000,0
UT,84001,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84002,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84003,MIDA NG AMERICAN FORK,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84004,ALPINE,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84005,EAGLE MOUNTAIN,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84006,COPPERTON,0.074500,0.048499,0.026000,0.000000,0.000000,0
UT,84007,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84008,VERNAL TR,0.069500,0.048499,0.016000,0.002000,0.003000,0
UT,84009,SOUTH JORDAN HTRZ,0.074500,0.048499,0.026000,0.000000,0.000000,0
UT,84010,BOUNTIFUL SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84011,BOUNTIFUL SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84013,EAGLE MOUNTAIN,0.074500,0.048499,0.010000,0.011000,0.005000,0
UT,84014,CENTERVILLE SP,0.072500,0.048499,0.018000,0.000000,0.006000,0
UT,84015,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84016,CLEARFIELD,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84017,SUMMIT CO TR,0.087500,0.048499,0.039000,0.000000,0.000000,0
UT,84018,MORGAN,0.067000,0.048499,0.018500,0.000000,0.000000,0
UT,84020,POINT OF THE MOUNTAIN AUTHORITY,0.074500,0.048499,0.026000,0.000000,0.000000,0
UT,84021,DUCHESNE,0.064500,0.048499,0.015000,0.001000,0.000000,0
UT,84022,TOOELE,0.066000,0.048499,0.017500,0.000000,0.000000,0
UT,84023,DUTCH JOHN,0.087500,0.048499,0.028000,0.011000,0.000000,0
UT,84024,SUMMIT CO TR,0.087500,0.048499,0.039000,0.000000,0.000000,0
UT,84025,FARMINGTON,0.072500,0.048499,0.018000,0.001000,0.005000,0
UT,84026,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
UT,84027,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84028,GARDEN CITY SP,0.082500,0.048499,0.018000,0.016000,0.000000,0
UT,84029,GRANTSVILLE,0.070000,0.048499,0.005000,0.011000,0.005500,0
UT,84031,DUCHESNE,0.063500,0.048499,0.015000,0.000000,0.000000,0
UT,84032,WASATCH,0.083500,0.048499,0.024000,0.000000,0.011000,0
UT,84033,SUMMIT CO TR,0.087500,0.048499,0.039000,0.000000,0.000000,0
UT,84034,JUAB,0.066500,0.048499,0.018000,0.000000,0.000000,0
UT,84035,UINTAH,0.064500,0.048499,0.016000,0.000000,0.000000,0
