State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VA,20101,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20102,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20103,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20104,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20105,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20106,CULPEPER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20108,MANASSAS CITY CO SP,0.060000,0.043000,0.000000,0.010000,0.007000,0
VA,20109,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20110,MANASSAS CITY CO SP,0.060000,0.043000,0.000000,0.010000,0.007000,0
VA,20111,MANASSAS CITY CO SP,0.060000,0.043000,0.000000,0.010000,0.007000,0
VA,20112,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20113,MANASSAS PARK CITY CO SP,0.060000,0.043000,0.000000,0.010000,0.007000,0
VA,20115,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20116,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20117,MIDDLEBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20118,MIDDLEBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20119,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20120,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20121,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20122,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20124,CLIFTON,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20128,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20129,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20130,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20131,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20132,HILLSBORO,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20134,PURCELLVILLE,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20135,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20136,MANASSAS CITY CO SP,0.060000,0.043000,0.000000,0.010000,0.007000,0
VA,20137,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20138,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20139,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20140,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20141,ROUND HILL,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20142,ROUND HILL,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20143,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20144,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20146,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20147,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20148,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20149,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20151,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20152,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20153,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20155,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20156,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20158,PURCELLVILLE,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20159,HAMILTON,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20160,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20163,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20164,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20165,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20166,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20167,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20168,HAYMARKET,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20169,HAYMARKET,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20170,HERNDON,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20171,FAIRFAX CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20172,HERNDON,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20175,LEESBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20176,LEESBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20177,LEESBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20178,LEESBURG,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20180,LOVETTSVILLE,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20181,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20182,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20184,LOUDOUN,0.060000,0.043000,0.010000,0.000000,0.007000,0
VA,20185,FAUQUIER,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20186,WARRENTON,0.053000,0.043000,0.010000,0.000000,0.000000,0
VA,20187,PRINCE WILLIAM CO SP,0.060000,0.043000,0.010000,0.000000,0.007000,0
