State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
VT,05001,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05009,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05030,WEATHERSFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05031,BARNARD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05032,STOCKBRIDGE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05033,BRADFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05034,WOODSTOCK,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05035,WOODSTOCK,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05036,BROOKFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05037,WINDSOR,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05038,BROOKFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05039,CORINTH,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05040,BRADFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05041,BROOKFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05042,BARNET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05043,THETFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05045,FAIRLEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05046,BARNET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05047,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05048,HARTLAND,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05049,HARTLAND,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05050,BARNET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05051,NEWBURY,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05052,HARTLAND,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05053,POMFRET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05054,THETFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05055,SHARON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05056,PLYMOUTH,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05058,WEST FAIRLEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05059,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05060,ROCHESTER,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05061,BETHEL,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05062,WOODSTOCK,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05065,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05067,POMFRET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05068,SHARON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05069,RYEGATE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05070,SHARON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05071,WOODSTOCK,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05072,SHARON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05073,WOODSTOCK,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05074,WEST FAIRLEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05075,STRAFFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05076,TOPSHAM,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05077,CHELSEA,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05079,STRAFFORD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05081,RYEGATE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05083,WEST FAIRLEE,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05084,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05085,NEWBURY,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05086,CORINTH,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05088,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05089,WINDSOR,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05091,HARTFORD,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05101,WESTMINSTER,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05141,ROCKINGHAM,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05142,CAVENDISH,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05143,SPRINGFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05146,TOWNSHEND,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05148,WESTON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05149,LUDLOW,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05150,SPRINGFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05151,WEATHERSFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05152,WINHALL LOCAL OPTION,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05153,READING,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05154,ROCKINGHAM,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05155,STRATTON,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05156,WEATHERSFIELD,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05158,WESTMINSTER,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05159,WESTMINSTER,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05161,WESTON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05201,DOVER LOCAL OPTION,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05250,MANCHESTER,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05251,DORSET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05252,ARLINGTON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05253,DORSET,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05254,MANCHESTER,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05255,MANCHESTER,0.070000,0.060000,0.000000,0.010000,0.000000,0
VT,05257,BENNINGTON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05260,BENNINGTON,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05261,POWNAL,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05262,GLASTENBURY,0.060000,0.060000,0.000000,0.000000,0.000000,0
VT,05301,MARLBORO,0.070000,0.060000,0.000000,0.010000,0.000000,0
