State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WA,98001,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98002,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98003,DES MOINES,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98004,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98005,BELLEVUE,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98006,BELLEVUE,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98007,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98008,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98009,BELLEVUE,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98010,BLACK DIAMOND,0.090000,0.065000,0.000000,0.025000,0.000000,0
WA,98011,BOTHELL/SNOHOMISH SPECIAL TAX DIST,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98012,MILL CREEK,0.106000,0.065000,0.000000,0.040999,0.000000,0
WA,98013,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98014,CARNATION,0.089000,0.065000,0.000000,0.024000,0.000000,0
WA,98015,BELLEVUE,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98019,DUVALL,0.092000,0.065000,0.000000,0.027000,0.000000,0
WA,98020,EDMONDS,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98021,BOTHELL/SNOHOMISH SPECIAL TAX DIST,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98022,ENUMCLAW,0.090000,0.065000,0.000000,0.025000,0.000000,0
WA,98023,FEDERAL WAY,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98024,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98025,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98026,EDMONDS,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98027,ISSAQUAH,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98028,LAKE FOREST PARK,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98029,ISSAQUAH,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98030,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98031,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98032,KENT,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98033,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98034,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98035,KENT,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98036,LYNNWOOD,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98037,LYNNWOOD,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98038,MAPLE VALLEY,0.090000,0.065000,0.000000,0.025000,0.000000,0
WA,98039,MEDINA,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98040,KING CO TR,0.103000,0.065000,0.000000,0.000000,0.038000,0
WA,98041,BOTHELL/KING SPECIAL TAX DIST,0.103000,0.065000,0.000000,0.000000,0.038000,0
WA,98042,KENT,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98043,SNOHOMISH-PTBA,0.105000,0.065000,0.000000,0.000000,0.040000,0
WA,98045,NORTH BEND,0.092000,0.065000,0.000000,0.027000,0.000000,0
WA,98046,LYNNWOOD,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98047,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98050,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98051,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98052,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98053,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98055,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98056,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98057,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98058,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98059,RENTON,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98061,BAINBRIDGE ISLAND,0.092000,0.065000,0.000000,0.027000,0.000000,0
WA,98062,BURIEN,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98063,FEDERAL WAY,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98064,KENT,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98065,SNOQUALMIE,0.093000,0.065000,0.000000,0.028000,0.000000,0
WA,98068,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98070,KING,0.089000,0.065000,0.024000,0.000000,0.000000,0
WA,98071,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98072,BOTHELL/SNOHOMISH SPECIAL TAX DIST,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98073,REDMOND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98074,SAMMAMISH,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98075,ISSAQUAH,0.105000,0.065000,0.000000,0.040000,0.000000,0
WA,98077,KING CO TR,0.103000,0.065000,0.000000,0.000000,0.038000,0
WA,98082,MILL CREEK,0.106000,0.065000,0.000000,0.040999,0.000000,0
WA,98083,KIRKLAND,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98087,LYNNWOOD,0.107000,0.065000,0.000000,0.042000,0.000000,0
WA,98089,KENT,0.104000,0.065000,0.000000,0.039000,0.000000,0
WA,98092,AUBURN/KING SPECIAL TAX DIST,0.104000,0.065000,0.000000,0.000000,0.039000,0
WA,98093,FEDERAL WAY,0.103000,0.065000,0.000000,0.038000,0.000000,0
WA,98101,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98102,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98103,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98104,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98105,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98106,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98107,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98108,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98109,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98110,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98111,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98112,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98113,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98114,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98115,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98116,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98117,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98118,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98119,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98121,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98122,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98124,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98125,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
WA,98126,SEATTLE,0.105500,0.065000,0.000000,0.040500,0.000000,0
