State,ZipCode,TaxRegionName,EstimatedCombinedRate,StateRate,EstimatedCountyRate,EstimatedCityRate,EstimatedSpecialRate,RiskLevel
WY,57717,CROOK,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82001,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82002,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82003,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82005,LARAMIE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82006,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82007,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82009,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82010,CHEYENNE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82050,ALBIN,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82051,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82052,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82053,BURNS,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82054,LARAMIE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82055,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82058,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82059,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82060,LARAMIE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82061,LARAMIE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82063,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82070,LARAMIE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82071,LARAMIE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82072,LARAMIE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82073,LARAMIE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82081,LARAMIE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82082,PINE BLUFFS,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82083,ROCK RIVER,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82084,ALBANY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82190,TETON,0.070000,0.040000,0.030000,0.000000,0.000000,0
WY,82201,WHEATLAND,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82210,CHUGWATER,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82212,FORT LARAMIE,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82213,GLENDO,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82214,GUERNSEY,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82215,HARTVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82217,GOSHEN,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82218,GOSHEN,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82219,GOSHEN,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82221,LA GRANGE,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82222,NIOBRARA,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82223,LINGLE,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82224,NIOBRARA,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82225,LUSK,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82227,MANVILLE,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82229,CONVERSE,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82240,TORRINGTON,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82242,VAN TASSELL,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82243,GOSHEN,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82244,YODER,0.052500,0.040000,0.012500,0.000000,0.000000,0
WY,82301,RAWLINS,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82310,FREMONT,0.050000,0.040000,0.010000,0.000000,0.000000,0
WY,82321,BAGGS,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82322,BAIROIL,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82323,DIXON,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82324,ELK MOUNTAIN,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82325,ENCAMPMENT,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82327,HANNA,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82329,MEDICINE BOW,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82331,SARATOGA,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82332,CARBON,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82334,SINCLAIR,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82335,CARBON,0.060000,0.040000,0.020000,0.000000,0.000000,0
WY,82336,WAMSUTTER,0.060000,0.040000,0.020000,0.000000,0.000000,0
